epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,39685.7,0.40696,0.31902,0.78656,0.97685,0.98857,0.99044,0.94722,0.32909,0.20665,0.77164,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,40205.9,0.40687,0.32045,0.7868,0.97736,0.98783,0.99045,0.94726,0.3289,0.20637,0.77161,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,40637.6,0.40429,0.31945,0.78685,0.97703,0.98845,0.99046,0.9475,0.32866,0.20606,0.77157,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,41102.7,0.40293,0.31505,0.78499,0.97754,0.98817,0.99048,0.94763,0.32845,0.20576,0.77153,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,41531.9,0.40066,0.31133,0.78638,0.9774,0.98876,0.99052,0.9477,0.32813,0.20543,0.7715,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,41970.8,0.40117,0.30964,0.7849,0.97745,0.98844,0.99052,0.94779,0.32802,0.20519,0.77147,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,42417.5,0.39966,0.30948,0.78583,0.97735,0.98857,0.99054,0.94795,0.32773,0.2049,0.77144,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,42962.2,0.35736,0.23655,0.77924,0.9779,0.98777,0.99055,0.94812,0.32731,0.20466,0.77139,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,43455.6,0.35163,0.2307,0.77872,0.97778,0.98789,0.99056,0.94828,0.32673,0.20432,0.77133,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,43924.1,0.34885,0.22933,0.7789,0.97799,0.98795,0.99059,0.9485,0.32618,0.20395,0.77127,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,44441.3,0.34706,0.22652,0.77745,0.97918,0.98622,0.9906,0.94873,0.32567,0.20361,0.77122,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,44872.2,0.34423,0.22331,0.77708,0.97922,0.98604,0.99062,0.94888,0.32518,0.20326,0.77116,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,45401.5,0.34105,0.22092,0.77813,0.97922,0.98601,0.99064,0.94912,0.3247,0.20291,0.77111,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,45868.7,0.34075,0.21868,0.77751,0.97933,0.98598,0.99066,0.94935,0.32426,0.20257,0.77105,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,46323.5,0.33822,0.21615,0.77718,0.97927,0.9862,0.99068,0.94963,0.32388,0.20224,0.77101,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,51097.8,0.33567,0.21327,0.7767,0.97601,0.97241,0.98252,0.94131,0.32348,0.20192,0.77096,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,51542.3,0.33457,0.21266,0.77665,0.97933,0.98628,0.99072,0.95011,0.32309,0.20162,0.77092,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
